,seg_index,art,outdoors and recreation,retail shop,professional service,food,nightlife spot,residence,schools&university,cycling facilities,transportation,total
1294,1323,0,1,0,0,0,0,0,0,0,0,1
1295,1324,0,3,0,0,0,0,0,0,1,0,4
1296,1325,0,2,0,0,0,0,0,0,2,1,5
1297,1326,0,2,0,0,0,0,0,0,3,2,7
1298,1327,0,2,0,0,0,0,0,0,1,0,3
1299,1328,0,0,0,0,0,0,0,0,3,0,3
1300,1329,0,0,0,0,0,0,0,0,3,0,3
1301,1330,0,0,0,0,0,0,0,0,2,0,2
1302,1331,0,5,0,0,0,0,0,0,9,0,14
1303,1332,0,0,0,0,0,0,0,0,7,0,7
1304,1333,0,0,0,1,1,1,0,0,5,0,8
1305,1334,0,0,1,0,0,0,0,0,5,0,6
1306,1335,0,1,1,1,0,0,0,1,4,0,8
1307,1336,0,0,0,0,0,0,0,0,3,0,3
1308,1337,0,0,0,0,0,0,0,0,2,0,2
1309,1338,0,0,0,1,0,0,0,0,2,1,4
1310,1339,0,1,0,1,0,0,0,0,5,1,8
1311,1340,0,2,0,0,0,0,1,1,6,5,15
1312,1341,0,1,0,0,0,0,0,0,5,2,8
1313,1342,0,0,0,0,0,0,0,0,4,1,5
1314,1344,0,4,0,0,0,0,0,1,2,0,7
1315,1345,0,5,0,0,0,0,0,0,1,0,6
1316,1346,0,1,0,0,0,0,0,0,3,0,4
1317,1347,0,3,0,0,0,0,0,0,3,0,6
1318,1348,0,1,0,0,0,0,0,0,5,0,6
1319,1349,0,1,0,0,0,0,0,0,3,0,4
1320,1350,0,0,0,0,0,0,0,0,3,0,3
1321,1351,0,0,0,0,0,0,0,0,2,0,2
1322,1352,0,1,0,0,0,0,0,0,2,0,3
1323,1353,1,1,0,0,0,0,0,0,2,0,4
1324,1354,0,0,0,0,0,0,0,0,5,0,5
1325,1355,0,3,0,0,0,0,0,0,1,1,5
1326,1356,0,9,0,8,2,1,0,0,9,3,32
1327,1357,0,14,6,10,10,1,0,0,16,6,63
1328,1358,0,0,2,3,6,1,0,2,10,5,29
1329,1359,0,1,0,0,1,0,0,2,5,0,9
1330,1360,0,0,0,0,1,0,1,0,6,2,10
1331,1361,0,1,1,0,0,0,0,0,5,1,8
1332,1362,0,0,1,0,0,0,0,0,3,0,4
1333,1363,0,1,2,0,0,0,0,0,2,0,5
1334,1364,0,1,1,0,0,0,0,0,2,0,4
1335,1365,0,0,0,0,0,0,0,0,3,0,3
1336,1366,0,0,0,1,0,0,0,0,3,0,4
1337,1367,0,2,0,0,0,0,0,0,1,1,4
1338,1368,0,3,0,0,0,0,0,0,0,1,4
1339,1369,0,5,0,0,0,0,0,0,1,0,6
1340,1370,0,2,0,0,0,0,0,0,1,0,3
1341,1372,0,1,0,0,0,0,0,0,0,0,1
1342,1374,0,0,0,0,0,0,0,0,1,0,1
1343,1375,0,0,0,0,0,0,0,0,2,0,2
1344,1376,0,1,0,0,0,0,0,0,5,0,6
1345,1377,0,0,0,0,0,0,0,0,3,0,3
1346,1378,0,0,0,0,0,0,0,0,4,0,4
1347,1379,0,1,0,0,0,0,0,0,5,0,6
1348,1380,0,2,0,0,0,0,0,0,4,0,6
1349,1381,0,0,0,0,0,0,0,0,3,0,3
1350,1382,0,1,0,0,0,0,0,0,3,0,4
1351,1383,0,1,0,0,0,0,0,0,4,0,5
1352,1384,0,0,0,0,0,0,0,0,5,0,5
1353,1385,0,0,0,0,0,0,0,0,4,0,4
1354,1386,0,0,0,0,0,0,0,0,4,0,4
1355,1387,0,1,0,0,0,0,0,0,3,0,4
1356,1388,0,1,0,0,0,0,0,0,3,0,4
1357,1389,0,0,0,0,0,0,0,0,3,0,3
1358,1390,0,0,0,0,0,0,0,0,6,2,8
1359,1391,0,0,0,0,0,0,0,0,6,1,7
1360,1392,0,5,1,2,4,1,0,0,3,0,16
1361,1393,1,7,16,1,12,3,0,0,11,4,55
1362,1394,0,5,16,4,2,0,0,0,8,5,40
1363,1395,0,3,0,0,0,0,0,0,5,2,10
1364,1396,0,2,0,1,0,0,0,0,4,0,7
1365,1397,0,2,0,0,0,0,0,0,3,0,5
1366,1398,0,1,0,0,0,0,0,0,2,1,4
1367,1399,0,2,0,1,0,0,0,0,1,2,6
1368,1400,0,3,0,0,0,0,1,0,3,0,7
1369,1401,0,2,0,0,0,0,0,0,0,0,2
1370,1404,0,1,0,0,0,0,0,0,3,0,4
1371,1405,0,1,0,0,0,0,0,0,1,0,2
1372,1406,0,1,0,0,0,0,0,0,2,0,3
1373,1407,0,0,1,0,0,0,0,0,4,0,5
1374,1408,0,0,0,0,0,0,0,0,5,0,5
1375,1409,0,0,0,0,0,0,0,0,3,0,3
1376,1410,0,0,0,0,0,0,0,0,3,0,3
1377,1411,0,0,0,0,0,0,0,0,2,0,2
1378,1412,0,1,0,0,0,0,0,0,1,0,2
1379,1413,0,0,0,0,0,0,0,0,3,0,3
1380,1414,0,0,0,0,0,0,0,0,1,0,1
1381,1415,0,1,0,0,0,0,0,0,2,0,3
1382,1416,0,3,0,0,0,0,0,0,1,0,4
1383,1417,0,2,0,0,0,0,0,0,0,0,2
1384,1420,0,1,0,0,0,0,0,0,0,0,1
1385,1421,1,6,0,0,1,0,0,0,6,0,14
1386,1422,0,5,6,3,1,0,0,0,10,2,27
1387,1423,1,2,6,3,4,0,1,0,6,2,25
1388,1424,1,2,2,0,1,1,1,1,3,0,12
1389,1425,0,2,0,0,0,1,0,0,3,0,6
1390,1426,0,0,0,0,0,1,0,0,2,2,5
1391,1427,0,1,0,0,0,0,0,0,2,2,5
1392,1428,0,2,0,0,0,0,0,0,2,0,4
1393,1429,0,1,2,0,0,0,0,0,1,0,4
1394,1430,0,2,2,0,0,0,0,0,1,0,5
1395,1431,0,3,0,0,0,1,1,2,5,2,14
