0,1,2
"('highway=pedestrian', 'foot=yes', 'sidewalk=both')","pedestrian,sidewalk",1
"('highway=tertiary', 'cycleway=lane', 'bicycle=designated', 'sidewalk=both', 'lanes=2')","L1b_2,sidewalk,L1a_1",1
"('highway=tertiary', 'cycleway=lane', 'bicycle=yes', 'sidewalk=both', 'oneway=yes', 'lanes=1')","M4_2,M2a_2,M2b_2,L1b_2,sidewalk,L1a_1",1
"('highway=pedestrian', 'bicycle=yes', 'sidewalk=no')","pedestrian,sidewalk",1
"('highway=tertiary', 'cycleway:right=lane', 'sidewalk=right', 'oneway=yes', 'lanes=2')","M4_1,L2,M2a_1,sidewalk",1
"('highway=pedestrian', 'sidewalk=no')","pedestrian,sidewalk",1
"('highway=tertiary', 'cycleway:left=shared_lane', 'cycleway:right=lane', 'sidewalk=both', 'lanes=2')","L2,sidewalk",1
"('highway=pedestrian', 'bicycle=dismount', 'foot=yes')",pedestrian,1
"('highway=pedestrian', 'bicycle=designated', 'foot=yes')",pedestrian,1
"('highway=path', 'foot=no')",,1
"('highway=tertiary', 'cycleway:left=lane', 'cycleway:right=lane', 'sidewalk=right', 'oneway=yes', 'lanes=2')","M4_3,M4_1,M2b_1,L2,M1_2,M2a_1,L1a_2,sidewalk",1
"('highway=tertiary', 'cycleway=lane', 'oneway=yes', 'lanes=3')","M4_2,M2a_2,M2b_2,L1b_2,L1a_1",1
"('highway=tertiary', 'cycleway:left=lane', 'cycleway:right=lane', 'sidewalk=right', 'oneway=yes', 'lanes=1')","M4_3,M4_1,M2b_1,L2,M1_2,M2a_1,L1a_2,sidewalk",1
"('highway=path', 'bicycle=yes', 'foot=yes', 'sidewalk=none', 'oneway=no')",sidewalk,1
"('highway=pedestrian', 'bicycle=yes', 'foot=yes')",pedestrian,1
"('highway=footway', 'sidewalk=left', 'oneway=no', 'lanes=1')","foot,sidewalk",1
"('highway=motorway', 'foot=no', 'oneway=yes', 'lanes=4')",,1
"('highway=trunk_link', 'sidewalk=right', 'oneway=yes')",sidewalk,1
"('highway=trunk', 'foot=designated', 'sidewalk=right', 'oneway=yes', 'lanes=4')",sidewalk,1
"('highway=cycleway', 'bicycle=yes', 'oneway=yes')","T1_2,T4_2",1
"('highway=cycleway', 'bicycle=yes', 'foot=yes', 'oneway=no')","T3_2,T2_2",1
"('highway=trunk', 'foot=no', 'sidewalk=right', 'oneway=yes', 'lanes=3')",sidewalk,1
"('highway=trunk', 'foot=yes', 'oneway=yes', 'lanes=3')",,1
"('highway=trunk', 'foot=yes', 'sidewalk=right', 'oneway=yes', 'lanes=3')",sidewalk,1
"('highway=cycleway', 'bicycle=yes', 'foot=no', 'oneway=yes')","T1_2,T4_2",1
"('highway=trunk', 'sidewalk=right', 'oneway=yes', 'lanes=4')",sidewalk,1
"('highway=trunk_link', 'foot=no', 'sidewalk=no', 'lanes=5')",sidewalk,1
"('highway=cycleway', 'bicycle=no', 'foot=permissive')",,1
"('highway=trunk_link', 'foot=no', 'sidewalk=right', 'oneway=yes', 'lanes=2')",sidewalk,1
"('highway=trunk_link', 'sidewalk=right', 'oneway=yes', 'lanes=1')",sidewalk,1
"('highway=trunk', 'bicycle=no', 'foot=no', 'oneway=reversible', 'lanes=2')",,1
"('highway=unclassified', 'bicycle=no', 'foot=no', 'lanes=4')",,1
"('highway=unclassified', 'bicycle=yes')",,1
"('highway=unclassified', 'bicycle=yes', 'sidewalk=no')",sidewalk,1
"('highway=cycleway', 'bicycle=destination', 'foot=yes')",,1
"('highway=unclassified', 'cycleway=lane', 'oneway=yes', 'lanes=1')","M4_2,M2a_2,M2b_2,L1b_2,L1a_1",1
"('highway=unclassified', 'foot=no')",,1
"('highway=cycleway', 'bicycle=designated', 'foot=designated')",,1
"('highway=unclassified', 'sidewalk=both', 'oneway=yes')",sidewalk,1
"('highway=construction', 'bicycle=yes', 'foot=yes')",,1
"('bicycle=yes', 'foot=yes')",,1
"('bicycle=no', 'foot=destination')",,1
"('highway=trunk', 'bicycle=no', 'foot=no', 'oneway=reversible', 'lanes=3')",,1
"('highway=cycleway', 'cycleway=lane', 'oneway=yes')","M4_2,M2a_2,M2b_2,T1_2,L1b_2,T4_2,L1a_1",1
"('highway=motorway', 'bicycle=yes', 'oneway=yes', 'lanes=3')",,1
"('highway=tertiary', 'sidewalk=none', 'oneway=yes', 'lanes=1')",sidewalk,1
"('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'oneway=yes', 'lanes=6')",sidewalk,1
"('highway=motorway', 'bicycle=no', 'foot=no', 'sidewalk=none', 'lanes=2')",sidewalk,1
"('highway=tertiary', 'bicycle=yes', 'sidewalk=both', 'lanes=4')",sidewalk,1
"('highway=footway', 'foot=yes', 'oneway=no')",foot,1
"('highway=footway', 'bicycle=yes', 'sidewalk=no')","foot,sidewalk",1
"('highway=footway', 'bicycle=permissive', 'foot=permissive')",foot,1
"('highway=footway', 'bicycle=permissive')",foot,1
"('highway=footway', 'bicycle=no', 'foot=yes', 'oneway=yes')",foot,1
"('highway=footway', 'bicycle=no', 'foot=destination', 'oneway=yes')",foot,1
"('highway=tertiary', 'sidewalk=no', 'oneway=yes', 'lanes=1')",sidewalk,1
"('highway=footway', 'amenity=parking')",foot,1
"('highway=footway', 'amenity=fountain')",foot,1
"('highway=track', 'bicycle=no')",,1
